station,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,is_articulation_point,zone,lines,is_interchange
Green Park,2,0.008,0.0728,0.146,0.0213,0.0035,0,False,South Delhi,Yellow Line,False
Hauz Khas,4,0.0161,0.0715,0.2214,0.0184,0.0067,0,True,South Delhi,Yellow Line; Magenta Line,True
Malviya Nagar,2,0.008,0.0674,0.1415,0.0087,0.0036,0,True,South Delhi,Yellow Line,False
Saket,2,0.008,0.0637,0.1347,0.0041,0.0038,0,True,South Delhi,Yellow Line,False
Qutab Minar,2,0.008,0.0604,0.1277,0.0019,0.0039,0,True,South Delhi,Yellow Line,False
Chhatarpur,2,0.008,0.0574,0.1207,0.0009,0.0039,0,True,South Delhi,Yellow Line,False
Sultanpur,2,0.008,0.0547,0.1137,0.0004,0.0039,0,True,South Delhi,Yellow Line,False
Ghogha,2,0.008,0.0522,0.1066,0.0002,0.0039,0,True,South Delhi,Yellow Line,False
Guru Dronacharya,2,0.008,0.0498,0.0994,0.0001,0.0038,0,True,Gurugram,Yellow Line,False
Sikanderpur,3,0.012,0.0477,0.093,0.0001,0.0056,0,True,Gurugram,Yellow Line; Rapid Metro Gurgaon,True
MG Road,2,0.008,0.0456,0.016,0.0,0.0041,0,True,Gurugram,Yellow Line,False
IFFCO Chowk,2,0.008,0.0436,0.008,0.0,0.0045,0,True,Gurugram,Yellow Line,False
Millennium City Centre,1,0.004,0.0418,0.0,0.0,0.0025,0,False,Gurugram,Yellow Line,False
Dwarka Sector 21,3,0.012,0.0654,0.0717,0.0123,0.0058,0,True,South West Delhi,Blue Line; Airport Express Line,True
Dwarka Sector 8,2,0.008,0.062,0.0574,0.0058,0.0039,0,False,South West Delhi,Blue Line,False
Dwarka Sector 9,2,0.008,0.0589,0.0507,0.0027,0.0039,0,False,South West Delhi,Blue Line,False
Dwarka Sector 10,2,0.008,0.0562,0.0441,0.0013,0.004,0,False,South West Delhi,Blue Line,False
Dwarka Sector 11,2,0.008,0.0537,0.0375,0.0006,0.004,0,False,South West Delhi,Blue Line,False
Dwarka Sector 12,2,0.008,0.0515,0.0317,0.0003,0.0039,0,False,South West Delhi,Blue Line,False
Dwarka Sector 13,2,0.008,0.0504,0.0274,0.0001,0.0039,0,False,South West Delhi,Blue Line,False
Dwarka Sector 14,2,0.008,0.0496,0.0249,0.0001,0.0038,0,False,South West Delhi,Blue Line,False
Dwarka,3,0.012,0.0494,0.0364,0.0001,0.0056,0,True,South West Delhi,Blue Line; Grey Line,True
Dwarka Mor,2,0.008,0.0495,0.0256,0.0,0.0038,0,False,West Delhi,Blue Line,False
Nawada,2,0.008,0.0504,0.029,0.0,0.0039,0,False,West Delhi,Blue Line,False
Uttam Nagar West,2,0.008,0.0527,0.0351,0.0001,0.0038,0,False,West Delhi,Blue Line,False
Uttam Nagar East,2,0.008,0.0552,0.0421,0.0001,0.0038,0,False,West Delhi,Blue Line,False
Janakpuri West,3,0.012,0.058,0.0736,0.0003,0.0054,0,False,West Delhi,Blue Line; Magenta Line,True
Janakpuri East,2,0.008,0.059,0.0546,0.0005,0.0037,0,False,West Delhi,Blue Line,False
Tilak Nagar,2,0.008,0.0607,0.0586,0.0009,0.0038,0,False,West Delhi,Blue Line,False
Subhash Nagar,2,0.008,0.0634,0.0642,0.002,0.0037,0,False,West Delhi,Blue Line,False
Tagore Garden,2,0.008,0.0668,0.0706,0.0042,0.0036,0,False,West Delhi,Blue Line,False
Rajouri Garden,4,0.0161,0.0706,0.1866,0.0088,0.0066,0,False,West Delhi,Blue Line; Pink Line,True
